# root file_name                                               ; Theory_XS fb;  Event_Number
M1500-R0-12.root  ; 177.000  ; 50000
#M1500-R0-2.root  ; 191.5000  ; 50000
#M1500-R0-3.root  ; 186.1000  ; 50000
#M1500-R0-4.root  ; 173.4000  ; 50000
M1500-R0-5.root  ; 153.5000  ; 50000
#M1500-R0-6.root  ; 123.7000  ; 50000
#M1500-R0-7.root  ; 82.35000  ; 50000
#M1500-R0-9.root  ; 6.236000  ; 50000
#M2000-R0-1.root  ; 45.51000  ; 50000
#M2000-R0-2.root  ; 47.38000  ; 50000
#M2000-R0-3.root  ; 45.59000  ; 50000
#M2000-R0-4.root  ; 42.51000  ; 50000
#M2000-R0-5.root  ; 37.68000  ; 50000
#M2000-R0-6.root  ; 30.23000  ; 50000
#M2000-R0-7.root  ; 20.04000  ; 50000
#M2000-R0-9.root  ; 1.53000  ; 50000
#M2500-R0-8.root  ; 13.15000  ; 50000
M3000-R0-06.root  ; 3.934000  ; 50000
#M3000-R0-08.root  ; 4.246000  ; 50000
#M3000-R0-1.root  ; 4.31000  ; 50000
#M3000-R0-2.root  ; 4.27000  ; 50000
#M3000-R0-3.root  ; 4.096000  ; 50000
#M3000-R0-4.root  ; 3.806000  ; 50000
M3000-R0-5.root  ; 3.369000  ; 50000
#M3000-R0-6.root  ; 2.695000  ; 50000
#M3000-R0-7.root  ; 1.783000  ; 50000
#M3000-R0-9.root  ; .1346000  ; 50000
HT2000toInf.root;25250;1
HT200to300.root;1717000000;57252469 
HT300to500.root;351300000;40145710
HT500to700.root;31630000;47277377
HT700to1000.root;6802000;41182569
HT1500to2000.root;120400;11815742
HT1000to1500.root   ; 1206000  ; 15105880
WJets.root; 2788000   ;20676355
ZJets.root; 5670    ;915511
WW.root;64300  ;6769656
WZ.root;47130  ;  2889039
ZZ.root;16523 ;962965
TT.root;831760.  ;65434701
#Pt170.root;117276000.;1
#Pt300.root;7823000.;1
#Pt470.root;648200.;1
#Pt600.root;186900.;1
#Pt800.root;32293.;1
#Pt1000.root;9418.3;1
#Pt1400.root;842.65;1
#Pt1800.root;114.943;1
#Pt2400.root;6.83;1
#Pt3200.root;0.165445;1  
ST_s-channel_4f_InclusiveDecays.root; 10120  ;2782903
ST_t-channel_antitop_4f_inclusiveDecays.root;80950. ;36696907
ST_t-channel_top_4f_inclusiveDecays.root;136020.   ;63035554
ST_tW_antitop_5f_inclusiveDecays.root;35600. ;6145405
ST_tW_top_5f_inclusiveDecays.root;35600. ; 6158131
